,#,Name,Type,HP,ATK,DEF,SP.ATK,SP.DEF,SPEED,Icon
34,026,Raichu,Electric,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
35,026,Alolan Raichu,"['Psychic', 'Electric']",60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
36,027,Sandshrew,Ground,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
37,027,Alolan Sandshrew,"['Steel', 'Ice']",50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
38,028,Sandslash,Ground,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
39,028,Alolan Sandslash,"['Steel', 'Ice']",75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
40,029,Nidoran♀,Poison,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
41,030,Nidorina,Poison,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
42,031,Nidoqueen,"['Ground', 'Poison']",90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
43,032,Nidoran♂,Poison,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
44,033,Nidorino,Poison,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
45,034,Nidoking,"['Ground', 'Poison']",81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
46,035,Clefairy,Fairy,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
47,036,Clefable,Fairy,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
48,037,Vulpix,Fire,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
49,037,Alolan Vulpix,Ice,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
50,038,Ninetales,Fire,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
51,038,Alolan Ninetales,"['Fairy', 'Ice']",73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
52,039,Jigglypuff,"['Fairy', 'Normal']",115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
53,040,Wigglytuff,"['Fairy', 'Normal']",140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
54,041,Zubat,"['Flying', 'Poison']",40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
55,042,Golbat,"['Flying', 'Poison']",75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
56,043,Oddish,"['Poison', 'Grass']",45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
57,044,Gloom,"['Poison', 'Grass']",60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
58,045,Vileplume,"['Poison', 'Grass']",75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
59,046,Paras,"['Grass', 'Bug']",35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
60,047,Parasect,"['Grass', 'Bug']",60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
61,048,Venonat,"['Poison', 'Bug']",60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
62,049,Venomoth,"['Poison', 'Bug']",70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
63,050,Diglett,Ground,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
64,050,Alolan Diglett,"['Steel', 'Ground']",10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
65,051,Dugtrio,Ground,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
66,051,Alolan Dugtrio,"['Steel', 'Ground']",35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
67,052,Meowth,Normal,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
68,052,Alolan Meowth,Dark,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
69,052,Galarian Meowth,Steel,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
70,053,Persian,Normal,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
71,053,Alolan Persian,Dark,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
72,054,Psyduck,Water,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
73,055,Golduck,Water,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
74,056,Mankey,Fighting,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
75,057,Primeape,Fighting,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
76,058,Growlithe,Fire,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
77,059,Arcanine,Fire,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
78,060,Poliwag,Water,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
79,061,Poliwhirl,Water,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
80,062,Poliwrath,"['Fighting', 'Water']",90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
81,063,Abra,Psychic,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
82,064,Kadabra,Psychic,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
83,065,Alakazam,Psychic,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
84,065,Mega Alakazam,Psychic,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
85,066,Machop,Fighting,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
86,067,Machoke,Fighting,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
87,068,Machamp,Fighting,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
88,069,Bellsprout,"['Poison', 'Grass']",50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
89,070,Weepinbell,"['Poison', 'Grass']",65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
90,071,Victreebel,"['Poison', 'Grass']",80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
91,072,Tentacool,"['Poison', 'Water']",40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
92,073,Tentacruel,"['Poison', 'Water']",80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
93,074,Geodude,"['Ground', 'Rock']",40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
94,074,Alolan Geodude,"['Electric', 'Rock']",40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
95,075,Graveler,"['Ground', 'Rock']",55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
96,075,Alolan Graveler,"['Electric', 'Rock']",55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
97,076,Golem,"['Ground', 'Rock']",80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
98,076,Alolan Golem,"['Electric', 'Rock']",80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
99,077,Ponyta,Fire,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
100,077,Galarian Ponyta,Psychic,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
101,078,Rapidash,Fire,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
102,078,Galarian Rapidash,"['Fairy', 'Psychic']",65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
103,079,Slowpoke,"['Psychic', 'Water']",90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
104,079,Galarian Slowpoke,Psychic,90,65,65,40,40,15,https://img.pokemondb.net/s.png
105,080,Slowbro,"['Psychic', 'Water']",95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
106,080,Mega Slowbro,"['Psychic', 'Water']",95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
107,081,Magnemite,"['Steel', 'Electric']",25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
108,082,Magneton,"['Steel', 'Electric']",50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
109,083,Farfetch'd,"['Flying', 'Normal']",52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
110,083,Galarian Farfetch'd,Fighting,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
111,084,Doduo,"['Flying', 'Normal']",35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
112,085,Dodrio,"['Flying', 'Normal']",60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
113,086,Seel,Water,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
114,087,Dewgong,"['Ice', 'Water']",90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
115,088,Grimer,Poison,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
116,088,Alolan Grimer,"['Dark', 'Poison']",80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
117,089,Muk,Poison,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
118,089,Alolan Muk,"['Dark', 'Poison']",105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
119,090,Shellder,Water,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
120,091,Cloyster,"['Ice', 'Water']",50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
121,092,Gastly,"['Poison', 'Ghost']",30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
122,093,Haunter,"['Poison', 'Ghost']",45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
123,094,Gengar,"['Poison', 'Ghost']",60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
124,094,Mega Gengar,"['Poison', 'Ghost']",60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
125,095,Onix,"['Ground', 'Rock']",35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
126,096,Drowzee,Psychic,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
127,097,Hypno,Psychic,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
128,098,Krabby,Water,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
129,099,Kingler,Water,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
130,100,Voltorb,Electric,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
131,101,Electrode,Electric,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
132,102,Exeggcute,"['Psychic', 'Grass']",60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
133,103,Exeggutor,"['Psychic', 'Grass']",95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
134,103,Alolan Exeggutor,"['Dragon', 'Grass']",95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
135,104,Cubone,Ground,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
136,105,Marowak,Ground,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
137,105,Alolan Marowak,"['Ghost', 'Fire']",60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
138,106,Hitmonlee,Fighting,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
139,107,Hitmonchan,Fighting,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
140,108,Lickitung,Normal,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
141,109,Koffing,Poison,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
142,110,Weezing,Poison,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
143,110,Galarian Weezing,"['Fairy', 'Poison']",65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
144,111,Rhyhorn,"['Rock', 'Ground']",80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
145,112,Rhydon,"['Rock', 'Ground']",105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
146,113,Chansey,Normal,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
147,114,Tangela,Grass,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
148,115,Kangaskhan,Normal,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
149,115,Mega Kangaskhan,Normal,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
150,116,Horsea,Water,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
151,117,Seadra,Water,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
152,118,Goldeen,Water,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
153,119,Seaking,Water,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
154,120,Staryu,Water,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
155,121,Starmie,"['Psychic', 'Water']",60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
156,122,Mr. Mime,"['Fairy', 'Psychic']",40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
157,122,Galarian Mr. Mime,"['Ice', 'Psychic']",50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
158,123,Scyther,"['Flying', 'Bug']",70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
159,124,Jynx,"['Psychic', 'Ice']",65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
160,125,Electabuzz,Electric,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
161,126,Magmar,Fire,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
162,127,Pinsir,Bug,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
163,127,Mega Pinsir,"['Flying', 'Bug']",65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
164,128,Tauros,Normal,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
165,129,Magikarp,Water,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
166,130,Gyarados,"['Flying', 'Water']",95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
167,130,Mega Gyarados,"['Dark', 'Water']",95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
168,131,Lapras,"['Ice', 'Water']",130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
169,132,Ditto,Normal,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
170,133,Eevee,Normal,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
171,133,Partner Eevee,Normal,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
172,134,Vaporeon,Water,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
173,135,Jolteon,Electric,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
174,136,Flareon,Fire,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
175,137,Porygon,Normal,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
176,138,Omanyte,"['Water', 'Rock']",35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
177,139,Omastar,"['Water', 'Rock']",70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
178,140,Kabuto,"['Water', 'Rock']",30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
179,141,Kabutops,"['Water', 'Rock']",60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
180,142,Aerodactyl,"['Flying', 'Rock']",80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
181,142,Mega Aerodactyl,"['Flying', 'Rock']",80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
182,143,Snorlax,Normal,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
183,144,Articuno,"['Flying', 'Ice']",90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
184,145,Zapdos,"['Flying', 'Electric']",90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
185,146,Moltres,"['Flying', 'Fire']",90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
186,147,Dratini,Dragon,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
187,148,Dragonair,Dragon,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
188,149,Dragonite,"['Flying', 'Dragon']",91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
189,150,Mewtwo,Psychic,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
190,150,Mega Mewtwo X,"['Fighting', 'Psychic']",106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
191,150,Mega Mewtwo Y,Psychic,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
192,151,Mew,Psychic,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
193,152,Chikorita,Grass,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
194,153,Bayleef,Grass,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
195,154,Meganium,Grass,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
196,155,Cyndaquil,Fire,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
197,156,Quilava,Fire,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
198,157,Typhlosion,Fire,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
199,158,Totodile,Water,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
200,159,Croconaw,Water,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
201,160,Feraligatr,Water,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
202,161,Sentret,Normal,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
203,162,Furret,Normal,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
204,163,Hoothoot,"['Flying', 'Normal']",60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
205,164,Noctowl,"['Flying', 'Normal']",100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
206,165,Ledyba,"['Flying', 'Bug']",40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
207,166,Ledian,"['Flying', 'Bug']",55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
208,167,Spinarak,"['Poison', 'Bug']",40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
209,168,Ariados,"['Poison', 'Bug']",70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
210,169,Crobat,"['Flying', 'Poison']",85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
211,170,Chinchou,"['Electric', 'Water']",75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
212,171,Lanturn,"['Electric', 'Water']",125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
213,172,Pichu,Electric,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
214,173,Cleffa,Fairy,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
215,174,Igglybuff,"['Fairy', 'Normal']",90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
216,175,Togepi,Fairy,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
217,176,Togetic,"['Flying', 'Fairy']",55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
218,177,Natu,"['Flying', 'Psychic']",40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
